priority,name,lifeDates,artworkCount,slug,status,note,imageUrl,imagePageUrl,imageSource,sourceUrl,license,imageType,imageStatus,imageNotes,commonsSearchUrl,wikidataSearchUrl,mnavSearchUrl,wikidataId
1,Petrona Viera,1895-1960,1021,petrona-viera,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Petrona_viera.jpg,https://commons.wikimedia.org/wiki/File:Petrona_viera.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q7179013,check_commons_file_page,portrait_or_artist_image,image_found,Retrato/foto ya usado en Wikipedia. Alternativa cultural fuerte: Autorretrato MNAV.,https://commons.wikimedia.org/w/index.php?search=Petrona%20Viera%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Petrona%20Viera&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Petrona%20Viera,Q7179013
2,Rafael Barradas,1890-1929,507,rafael-barradas,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Rafael_barradas.jpg,https://commons.wikimedia.org/wiki/File:Rafael_barradas.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q2054418,check_commons_file_page,portrait_or_artist_image,image_found,Foto de Rafael Barradas ca. 1916; revisar permiso en Commons antes de importar.,https://commons.wikimedia.org/w/index.php?search=Rafael%20Barradas%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Rafael%20Barradas&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Rafael%20Barradas,Q2054418
3,José Cuneo,1887-1977,422,jose-cuneo,necesita imagen,,,https://commons.wikimedia.org/wiki/Category:José_Cuneo_Perinetti,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q6291984,,artist_page_or_portrait_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Jos%C3%A9%20Cuneo%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Jos%C3%A9%20Cuneo&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Jos%C3%A9%20Cuneo,Q6291984
4,Manuel Espínola Gómez,1921-2003,309,manuel-espinola-gomez,necesita imagen,,,https://en.wikipedia.org/wiki/Manuel_Esp%C3%ADnola_G%C3%B3mez,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q17274551,,artist_page_or_portrait_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Manuel%20Esp%C3%ADnola%20G%C3%B3mez%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Manuel%20Esp%C3%ADnola%20G%C3%B3mez&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Manuel%20Esp%C3%ADnola%20G%C3%B3mez,Q17274551
5,Juan Manuel Blanes,1830-1901,253,juan-manuel-blanes,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Blanes.jpg,https://commons.wikimedia.org/wiki/File:Blanes.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q722644,check_commons_file_page,portrait_or_artist_image,image_found,Retrato/foto de Blanes; buen candidato para ficha.,https://commons.wikimedia.org/w/index.php?search=Juan%20Manuel%20Blanes%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Juan%20Manuel%20Blanes&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Juan%20Manuel%20Blanes,Q722644
6,Carlos Federico Sáez,1878-1901,244,carlos-federico-saez,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/CarlosFedericoSaez.jpg,https://commons.wikimedia.org/wiki/File:CarlosFedericoSaez.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q5750303,check_commons_file_page,portrait_or_artist_image,image_found,Commons tiene archivo asociado; revisar si es retrato del artista o imagen vinculada.,https://commons.wikimedia.org/w/index.php?search=Carlos%20Federico%20S%C3%A1ez%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Carlos%20Federico%20S%C3%A1ez&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Carlos%20Federico%20S%C3%A1ez,Q5750303
7,Margarita Mortarotti,1926-1985,212,margarita-mortarotti,necesita imagen,,,https://blanes.montevideo.gub.uy/exposiciones/exposiciones-transitorias/transformadoras/margarita-mortarotti,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q19721978,,artist_page_or_portrait_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Margarita%20Mortarotti%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Margarita%20Mortarotti&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Margarita%20Mortarotti,Q19721978
8,Diógenes Hequet,1866-1902,189,diogenes-hequet,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Hequet-self_portrait.jpg,https://commons.wikimedia.org/wiki/File:Hequet-self_portrait.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q5811984,check_commons_file_page,portrait_or_artist_image,image_found,Autorretrato en Commons. El apellido aparece también como Hecquet.,https://commons.wikimedia.org/w/index.php?search=Di%C3%B3genes%20Hequet%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Di%C3%B3genes%20Hequet&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Di%C3%B3genes%20Hequet,Q5811984
9,Nerses Ounanian,1924-1957,156,nerses-ounanian,necesita imagen,,,https://letras-uruguay.espaciolatino.com/laroche_w_e/despues_de_un_largo_silencio_nerses_ounanian.htm,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q6041031,,self_portrait_reference,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Nerses%20Ounanian%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Nerses%20Ounanian&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Nerses%20Ounanian,Q6041031
10,Carlos Prevosti,1896-1955,127,carlos-prevosti,necesita imagen,,,https://mnav.gub.uy/cms.php?a=342,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q42382975,,artist_page_or_artwork_fallback,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Carlos%20Prevosti%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Carlos%20Prevosti&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Carlos%20Prevosti,Q42382975
