priority,name,lifeDates,artworkCount,slug,status,note
"1","Petrona Viera","1895-1960","1021","petrona-viera","tiene imagen",""
"2","Desconocido","","553","desconocido","necesita imagen","registro tecnico/no artista"
"3","Rafael Barradas","1890-1929","507","rafael-barradas","tiene imagen",""
"4","José Cuneo","1887-1977","422","jose-cuneo","necesita imagen",""
"5","Manuel Espínola Gómez","1921-2003","309","manuel-espinola-gomez","necesita imagen",""
"6","Juan Manuel Blanes","1830-1901","253","juan-manuel-blanes","tiene imagen",""
"7","Carlos Federico Sáez","1878-1901","244","carlos-federico-saez","tiene imagen",""
"8","Margarita Mortarotti","1926-1985","212","margarita-mortarotti","necesita imagen",""
"9","Diógenes Hequet","1866-1902","189","diogenes-hequet","tiene imagen",""
"10","Nerses Ounanian","1924-1957","156","nerses-ounanian","necesita imagen",""
"11","Carlos Prevosti","1896-1955","127","carlos-prevosti","necesita imagen",""
"12","Raúl Javiel Cabrera","1919-1992","117","raul-javiel-cabrera","necesita imagen",""
"13","Francisco de Goya y Lucientes","1746-1828","84","francisco-de-goya-y-lucientes","tiene imagen",""
"14","Federico Lanau","1891-1929","72","federico-lanau","necesita imagen",""
"15","Antonio Frasconi","1919-2013","63","antonio-frasconi","necesita imagen",""
"16","Manuel Larravide","1871-1910","61","manuel-larravide","necesita imagen",""
"17","Manuel Rosé","1882-1961","58","manuel-rose","necesita imagen",""
"18","Hugo O'Neill Hamilton","1921-2000","57","hugo-o-neill-hamilton","necesita imagen",""
"19","Guillermo Laborde","1886-1940","53","guillermo-laborde","tiene imagen",""
"20","Pedro Figari","1861-1938","46","pedro-figari","tiene imagen",""
"21","Joaquín Torres García","1874-1949","41","joaquin-torres-garcia","tiene imagen",""
"22","José María Pagani","1902-1960","40","jose-maria-pagani","necesita imagen",""
"23","Enrique Silveira y Jorge Abbondanza (Grupo)","","38","enrique-silveira-y-jorge-abbondanza-grupo","necesita imagen","grupo o autoria colectiva"
"24","Eduardo De Martino","1838-1912","37","eduardo-de-martino","necesita imagen",""
"25","Alberto Castellanos","1869-1908","34","alberto-castellanos","necesita imagen",""
"26","José Gamarra","1934-","34","jose-gamarra","necesita imagen",""
"27","Error - No ingresado","","33","error-no-ingresado","necesita imagen","registro tecnico/no artista"
"28","Germán Cabrera","1903-1990","32","german-cabrera","necesita imagen",""
"29","No aplicable","","32","no-aplicable","necesita imagen","registro tecnico/no artista"
"30","E. Díaz Aranda","","31","e-diaz-aranda","necesita imagen",""
"31","Carlos María Herrera","1875-1914","29","carlos-maria-herrera","necesita imagen",""
"32","Edmundo Prati","1889-1970","28","edmundo-prati","necesita imagen",""
"33","Ernesto Laroche","1879-1940","27","ernesto-laroche","necesita imagen",""
"34","Juan Martín","1913-1999","27","juan-martin","necesita imagen",""
"35","Manuel Collazo Castro","1892-1953","27","manuel-collazo-castro","necesita imagen",""
"36","José Luis Zorrilla de San Martín","1891-1975","26","jose-luis-zorrilla-de-san-martin","necesita imagen",""
"37","Carlos Alberto Castellanos","1881-1945","25","carlos-alberto-castellanos","necesita imagen",""
"38","Anhelo Hernández","1922-2010","24","anhelo-hernandez","necesita imagen",""
"39","Luis A. Solari","1918-1993","24","luis-a-solari","necesita imagen",""
"40","Luis Mazzey","1895-1983","24","luis-mazzey","necesita imagen",""
"41","Leonilda González","1923-2017","23","leonilda-gonzalez","necesita imagen",""
"42","Domingo Laporte","1855-1928","22","domingo-laporte","necesita imagen",""
"43","Juan Manuel Ferrari","1874-1916","22","juan-manuel-ferrari","necesita imagen",""
"44","Julio Verdié","1900-1988","22","julio-verdie","necesita imagen",""
"45","Alfredo Testoni","1919-2003","21","alfredo-testoni","necesita imagen",""
"46","José Pedro Costigliolo","1902-1985","21","jose-pedro-costigliolo","necesita imagen",""
"47","Carmelo de Arzadun","1888-1968","20","carmelo-de-arzadun","necesita imagen",""
"48","Pedro Blanes Viale","1878-1926","20","pedro-blanes-viale","necesita imagen",""
"49","Vicente Martín","1911-1998","19","vicente-martin","necesita imagen",""
"50","Jorge Páez Vilaró","1922-1994","18","jorge-paez-vilaro","necesita imagen",""
"51","Antonio Pena","1894-1947","17","antonio-pena","necesita imagen",""
"52","Oscar García Reino","1910-1993","17","oscar-garcia-reino","necesita imagen",""
"53","Ricardo L. Aguerre","1897-1967","17","ricardo-l-aguerre","necesita imagen",""
"54","Eduardo Vernazza","1910-1991","16","eduardo-vernazza","necesita imagen",""
"55","Guillermo Ciro Rodriguez","1889-1959","16","guillermo-ciro-rodriguez","necesita imagen",""
"56","María Freire","1917-2015","16","maria-freire","necesita imagen",""
"57","Maud Oakes y Jeff King","","16","maud-oakes-y-jeff-king","necesita imagen","grupo o autoria colectiva"
"58","Nicanor Blanes","1857-1895","16","nicanor-blanes","necesita imagen",""
"59","Nicolás Urta","1897-1959","16","nicolas-urta","necesita imagen",""
"60","Washington Barcala","1920-1993","16","washington-barcala","necesita imagen",""
"61","Carlos Casiano González","1905-1993","15","carlos-casiano-gonzalez","necesita imagen",""
"62","Herman Braun Vega","1933-2019","15","herman-braun-vega","necesita imagen",""
"63","María Carmen Portela","1898-1983","15","maria-carmen-portela","necesita imagen",""
"64","Pablo Mañé","1880-1971","15","pablo-mane","necesita imagen",""
"65","Leandro Castellanos Balparda","1894-1957","14","leandro-castellanos-balparda","necesita imagen",""
"66","Ana Mercedes Hoyos","1942-2014","13","ana-mercedes-hoyos","necesita imagen",""
"67","Carlos de Santiago","1875-1951","13","carlos-de-santiago","necesita imagen",""
"68","Hilda López","1922-1996","13","hilda-lopez","necesita imagen",""
"69","Jorge Damiani","1931-2017","13","jorge-damiani","necesita imagen",""
"70","Juan Luis Blanes","1856-1895","13","juan-luis-blanes","necesita imagen",""
"71","Nelson Ramos","1932-2006","13","nelson-ramos","necesita imagen",""
"72","Alfredo De Simone","1892-1950","12","alfredo-de-simone","necesita imagen",""
"73","Amalia Nieto","1907-2003","12","amalia-nieto","necesita imagen",""
"74","Arnaldo Pedroso D Horta","1914-1973","12","arnaldo-pedroso-d-horta","necesita imagen",""
"75","Héctor Sgarbi","1905-1982","12","hector-sgarbi","necesita imagen",""
"76","Lucebert","1924-1994","12","lucebert","necesita imagen",""
"77","Rimer Cardillo","1944-","12","rimer-cardillo","necesita imagen",""
"78","Severino Pose","1894-1964","12","severino-pose","necesita imagen",""
"79","Adolfo Pastor","1898-1982","11","adolfo-pastor","necesita imagen",""
"80","Alberto Savio","1901-1971","11","alberto-savio","necesita imagen",""
"81","Carlos Castells","1881-1933","11","carlos-castells","necesita imagen",""
"82","Claudio Silveira Silva","1935-2007","11","claudio-silveira-silva","necesita imagen",""
"83","Hans Platscheck","1923-2000","11","hans-platscheck","necesita imagen",""
"84","Homero Bais","1918-","11","homero-bais","necesita imagen",""
"85","Humberto Causa","1890-1925","11","humberto-causa","necesita imagen",""
"86","Antonio Llorens","1920-1995","10","antonio-llorens","necesita imagen",""
"87","Bernabé Michelena","1888-1963","10","bernabe-michelena","necesita imagen",""
"88","Carlos Capelán","1948-","10","carlos-capelan","necesita imagen",""
"89","César Pesce Castro","1890-1977","10","cesar-pesce-castro","necesita imagen",""
"90","Domingo De Santiago","1903-1975","10","domingo-de-santiago","necesita imagen",""
"91","Eva Olivetti","1924-2013","10","eva-olivetti","necesita imagen",""
"92","Francisco A. Siniscalchi","1914-2001","10","francisco-a-siniscalchi","necesita imagen",""
"93","Melchor Méndez Magariños","1885-1945","10","melchor-mendez-magarinos","necesita imagen",""
"94","Norberto Berdía","1899-1983","10","norberto-berdia","necesita imagen",""
"95","Ruisdael Suárez","1929-2004","10","ruisdael-suarez","necesita imagen",""
"96","Teresa Vila","1931-2009","10","teresa-vila","necesita imagen",""
"97","Zoma Baitler","1908-1994","10","zoma-baitler","necesita imagen",""
"98","Edgardo Ribeiro","1921-2006","9","edgardo-ribeiro","necesita imagen",""
"99","Eduardo Amézaga","1911-1977","9","eduardo-amezaga","necesita imagen",""
"100","Federico Moller De Berg","1900-1991","9","federico-moller-de-berg","necesita imagen",""
"101","Heber Ramos Paz","1924-","9","heber-ramos-paz","necesita imagen",""
"102","José Felipe Parra","1826-1890","9","jose-felipe-parra","necesita imagen",""
"103","Juan Ventayol","1915-1971","9","juan-ventayol","necesita imagen",""
"104","Lincoln Presno","1917-1991","9","lincoln-presno","necesita imagen",""
"105","Manuel Pailós","1918-2004","9","manuel-pailos","necesita imagen",""
"106","Máximo Sturla","1883-1909","9","maximo-sturla","necesita imagen",""
"107","Milo Beretta","1875-1935","9","milo-beretta","necesita imagen",""
"108","Niewenhuis Constant","1920-2005","9","niewenhuis-constant","necesita imagen",""
"109","Pablo Serrano","1910-1985","9","pablo-serrano","necesita imagen",""
"110","Raúl Cattelani","1927-2015","9","raul-cattelani","necesita imagen",""
"111","Raúl Pavlotzky","1918-1998","9","raul-pavlotzky","necesita imagen",""
"112","Sara Traversa","1912-1999","9","sara-traversa","necesita imagen",""
"113","Agustín Alamán","1921-1995","8","agustin-alaman","necesita imagen",""
"114","Alberto Dura","1888-1971","8","alberto-dura","necesita imagen",""
"115","Alejandro Turell Lorenzo","1975-","8","alejandro-turell-lorenzo","necesita imagen",""
"116","Américo Spósito","1924-2005","8","americo-sposito","necesita imagen",""
"117","Enrique Medina Ramela","1935-","8","enrique-medina-ramela","necesita imagen",""
"118","Francisco Matto","1911-1995","8","francisco-matto","necesita imagen",""
"119","Gilberto Bellini","1908-1935","8","gilberto-bellini","necesita imagen",""
"120","Heber Rolandi Scelza","1936-","8","heber-rolandi-scelza","necesita imagen",""
"121","Juan José Calandria","1902-1980","8","juan-jose-calandria","necesita imagen",""
"122","Rubens Fernández Tudurí","1920-1993","8","rubens-fernandez-tuduri","necesita imagen",""
"123","Wifredo Díaz Valdéz","1932-2025","8","wifredo-diaz-valdez","necesita imagen",""
"124","Alceu Ribeiro","1919-2013","7","alceu-ribeiro","necesita imagen",""
"125","Carlos Lombardo","1924-1972","7","carlos-lombardo","necesita imagen",""
"126","Carlos R. Rúfalo","1880-1975","7","carlos-r-rufalo","necesita imagen",""
"127","Emilio Vedova","","7","emilio-vedova","necesita imagen",""
"128","Francisco E. Bauzer","1887-1945","7","francisco-e-bauzer","necesita imagen",""
"129","Humberto Tabaré Tomeo","1933-1996","7","humberto-tabare-tomeo","necesita imagen",""
"130","José Belloni","1882-1965","7","jose-belloni","necesita imagen",""
"131","José Lanzaro","1920-2004","7","jose-lanzaro","necesita imagen",""
"132","Luis A. Fayol","1904-1965","7","luis-a-fayol","necesita imagen",""
"133","Manuel Correa","1864-1910","7","manuel-correa","necesita imagen",""
"134","María Rosa De Ferrari","1899-1982","7","maria-rosa-de-ferrari","necesita imagen",""
"135","Mariano Barbasán Lagueruela","1864-1924","7","mariano-barbasan-lagueruela","necesita imagen",""
"136","Rafael Borella","1874-1953","7","rafael-borella","necesita imagen",""
"137","Salustiano Pintos","1905-1975","7","salustiano-pintos","necesita imagen",""
"138","Víctor L. Rebufo","1903-1983","7","victor-l-rebufo","necesita imagen",""
