priority,name,lifeDates,artworkCount,slug,status,note
"1","José Cuneo","1887-1977","422","jose-cuneo","necesita imagen",""
"2","Manuel Espínola Gómez","1921-2003","309","manuel-espinola-gomez","necesita imagen",""
"3","Margarita Mortarotti","1926-1985","212","margarita-mortarotti","necesita imagen",""
"4","Nerses Ounanian","1924-1957","156","nerses-ounanian","necesita imagen",""
"5","Carlos Prevosti","1896-1955","127","carlos-prevosti","necesita imagen",""
"6","Raúl Javiel Cabrera","1919-1992","117","raul-javiel-cabrera","necesita imagen",""
"7","Federico Lanau","1891-1929","72","federico-lanau","necesita imagen",""
"8","Antonio Frasconi","1919-2013","63","antonio-frasconi","necesita imagen",""
"9","Manuel Larravide","1871-1910","61","manuel-larravide","necesita imagen",""
"10","Manuel Rosé","1882-1961","58","manuel-rose","necesita imagen",""
"11","Hugo O'Neill Hamilton","1921-2000","57","hugo-o-neill-hamilton","necesita imagen",""
"12","José María Pagani","1902-1960","40","jose-maria-pagani","necesita imagen",""
"13","Eduardo De Martino","1838-1912","37","eduardo-de-martino","necesita imagen",""
"14","Alberto Castellanos","1869-1908","34","alberto-castellanos","necesita imagen",""
"15","José Gamarra","1934-","34","jose-gamarra","necesita imagen",""
"16","Germán Cabrera","1903-1990","32","german-cabrera","necesita imagen",""
"17","E. Díaz Aranda","","31","e-diaz-aranda","necesita imagen",""
"18","Carlos María Herrera","1875-1914","29","carlos-maria-herrera","necesita imagen",""
"19","Edmundo Prati","1889-1970","28","edmundo-prati","necesita imagen",""
"20","Ernesto Laroche","1879-1940","27","ernesto-laroche","necesita imagen",""
"21","Juan Martín","1913-1999","27","juan-martin","necesita imagen",""
"22","Manuel Collazo Castro","1892-1953","27","manuel-collazo-castro","necesita imagen",""
"23","José Luis Zorrilla de San Martín","1891-1975","26","jose-luis-zorrilla-de-san-martin","necesita imagen",""
"24","Carlos Alberto Castellanos","1881-1945","25","carlos-alberto-castellanos","necesita imagen",""
"25","Anhelo Hernández","1922-2010","24","anhelo-hernandez","necesita imagen",""
"26","Luis A. Solari","1918-1993","24","luis-a-solari","necesita imagen",""
"27","Luis Mazzey","1895-1983","24","luis-mazzey","necesita imagen",""
"28","Leonilda González","1923-2017","23","leonilda-gonzalez","necesita imagen",""
"29","Domingo Laporte","1855-1928","22","domingo-laporte","necesita imagen",""
"30","Juan Manuel Ferrari","1874-1916","22","juan-manuel-ferrari","necesita imagen",""
"31","Julio Verdié","1900-1988","22","julio-verdie","necesita imagen",""
"32","Alfredo Testoni","1919-2003","21","alfredo-testoni","necesita imagen",""
"33","José Pedro Costigliolo","1902-1985","21","jose-pedro-costigliolo","necesita imagen",""
"34","Carmelo de Arzadun","1888-1968","20","carmelo-de-arzadun","necesita imagen",""
"35","Pedro Blanes Viale","1878-1926","20","pedro-blanes-viale","necesita imagen",""
"36","Vicente Martín","1911-1998","19","vicente-martin","necesita imagen",""
"37","Jorge Páez Vilaró","1922-1994","18","jorge-paez-vilaro","necesita imagen",""
"38","Antonio Pena","1894-1947","17","antonio-pena","necesita imagen",""
"39","Oscar García Reino","1910-1993","17","oscar-garcia-reino","necesita imagen",""
"40","Ricardo L. Aguerre","1897-1967","17","ricardo-l-aguerre","necesita imagen",""
"41","Eduardo Vernazza","1910-1991","16","eduardo-vernazza","necesita imagen",""
"42","Guillermo Ciro Rodriguez","1889-1959","16","guillermo-ciro-rodriguez","necesita imagen",""
"43","María Freire","1917-2015","16","maria-freire","necesita imagen",""
